iso3,funding_required,funding_received,ipc_phase_3_plus,fatalities,Country_Name,Lat,Lon,funding_gap,funding_gap_normalized,total_affected,log_affected,log_fatalities,log_food_insecure,fatalities_score,food_score,gap_score,affected_score,severity_target,Crisis_Severity_Score,coverage_ratio,Is_Red_Zone,Funding_Coverage_Ratio,Optimal_Allocation_USD,Projected_Lives_Saved
ABW,84017569,10060185,0,0,ABW,0,0,73957384,0.8802609368523862,0,0,0,0,16.78832116788321,32.481751824817515,100,12.773722627737227,44.87226277372263,44.9,0.1197390631476138,false,0.12,3999885.21,96
AFG,18279647669,11924492976,13775635,158244,Afghanistan,33.9,67.7,6355154693,0.347662865722382,29600035,7.471292239254609,5.199329996688036,7.1391116586972725,100,100,34.7662865722382,98.54014598540147,80.13791516875176,80.1,0.652337134277618,true,0.652,8889549.32,539
AGO,112706573,25774631,1315532,170,Angola,-11.2,17.9,86931942,0.7713120866517696,1332532,6.124677973076051,2.2329961103921536,6.119101746787473,65.69343065693431,80.2919708029197,92.55745039821237,73.72262773722628,79.00811103187246,78.9,0.22868791334823035,true,0.229,7091453.71,365
AIA,0,0,0,0,AIA,0,0,0,0,0,0,0,0,16.78832116788321,32.481751824817515,0,12.773722627737227,14.872262773722627,14.9,1,false,1,0,0
ARG,131821502,33650081,0,0,ARG,0,0,98171421,0.7447299530845886,0,0,0,0,16.78832116788321,32.481751824817515,89.36759437015061,12.773722627737227,41.68254108476781,41.7,0.25527004691541144,false,0.255,3772883.31,87
ARM,0,0,0,211,ARM,0,0,0,0,21100,4.3243030374868345,2.3263358609287517,0,66.42335766423358,32.481751824817515,0,45.25547445255474,33.777372262773724,33.8,1,false,1,0,0
AUT,0,0,0,4,AUT,0,0,0,0,400,2.603144372620182,0.6989700043360189,0,43.43065693430657,32.481751824817515,0,31.751824817518248,25.32846715328467,25.3,1,false,1,0,0
AZE,0,0,0,8053,AZE,0,0,0,0,805300,5.905958238387363,3.9060116252714128,0,86.86131386861314,32.481751824817515,0,67.15328467153284,43.26642335766423,43.2,1,false,1,0,0
BDI,1419220833,710004003,1174392,827,Burundi,-3.4,29.9,709216830,0.4997226742372658,1257092,6.099367408070025,2.9180303367848803,6.069813453956163,73.72262773722628,79.56204379562044,49.97226742372658,72.99270072992701,67.91138825631506,67.9,0.5002773257627342,true,0.5,6803524.11,318
BEL,0,0,0,36,BEL,0,0,0,0,3600,3.556423121371285,1.568201724066995,0,54.01459854014598,32.481751824817515,0,40.14598540145985,29.653284671532845,29.8,1,false,1,0,0
BEN,17930000,3346554,191108,144,BEN,0,0,14583446,0.813354489682097,205508,5.312830845991887,2.161368002234975,5.281281140002682,64.96350364963503,66.42335766423358,97.60253876185165,56.20437956204379,73.3683528694314,73.4,0.18664551031790297,true,0.187,5952862.02,256
BFA,4968866480,2243117168,1749437,13587,Burkina Faso,12.2,-1.5,2725749312,0.5485656181286642,3108137,6.492500293046506,4.1331555381979905,6.24289855571575,100,83.94160583941606,54.856561812866424,85.40145985401459,79.52266197451686,79.5,0.4514343818713358,true,0.451,8492079.38,485
BGD,8190672453,5384659656,15463347,466,Bangladesh,23.7,90.4,2806012797,0.34258637652788093,15509947,7.190610341762611,2.6693168805661123,7.189303529718652,72.99270072992701,100,34.258637652788096,94.16058394160584,72.35788326663935,72.4,0.6574136234721191,true,0.657,7743997.9,421
BGR,111830444,16581793,0,0,BGR,0,0,95248651,0.851723802509449,0,0,0,0,16.78832116788321,32.481751824817515,100,12.773722627737227,44.87226277372263,44.9,0.14827619749055096,false,0.148,4055736.98,98
BOL,63657348,17341572,0,2,BOL,0,0,46315776,0.7275794147126582,200,2.303196057420489,0.47712125471966244,0,39.416058394160586,32.481751824817515,87.30952976551899,29.1970802919708,50.00672754279438,50,0.27242058528734187,false,0.272,4339164.45,112
BRA,685548259,261248710,0,18452,BRA,0,0,424299549,0.6189200299610126,1845200,6.266043681300615,4.2660669817434105,0,100,32.481751824817515,61.89200299610126,78.83211678832117,67.45446221269899,67.5,0.3810799700389874,true,0.381,6592954.42,307
CAF,5320902534,3294470951,1928733,5606,Central African Rep,6.6,20.9,2026431583,0.3808435824658163,2489333,6.396083170865473,3.7487305560984945,6.285272336354144,83.94160583941606,87.59124087591242,38.08435824658163,82.48175182481752,70.80486951777011,70.8,0.6191564175341837,true,0.619,7459558.56,378
CHL,412162257,65026194,0,0,CHL,0,0,347136063,0.8422315656137336,0,0,0,0,16.78832116788321,32.481751824817515,100,12.773722627737227,44.87226277372263,44.9,0.15776843438626648,false,0.158,4341224.9,109
CHN,0,0,0,12,CHN,0,0,0,0,1200,3.079543007402906,1.1139433523068367,0,47.44525547445255,32.481751824817515,0,35.03649635036496,26.989051094890506,27.1,1,false,1,0,0
CIV,0,0,1033335,52,CIV,0,0,0,0,1038535,6.016421555594627,1.7242758696007892,6.014241559873118,55.47445255474452,78.1021897810219,0,71.53284671532847,47.7007299270073,47.7,1,false,1,0,0
CMR,3619385046,1670020578,3121270,6546,Cameroon,7.4,12.4,1949364468,0.5385899657607195,3775870,6.577017148511316,3.816042340921997,6.4943314773148515,85.40145985401459,90.51094890510949,53.85899657607195,86.86131386861314,77.50806393632523,77.5,0.46141003423928056,true,0.461,8150702.89,455
COD,18829954997,8563371098,24812776,28074,DR Congo,-4,21.7,10266583899,0.5452261516629051,27620176,7.4412264573663265,4.448319764933496,7.394675372425578,100,100,54.522615166290514,97.8102189781022,85.91882834550759,85.9,0.4547738483370949,true,0.455,9735802.54,639
COG,127054315,93455675,0,78,COG,0,0,33598640,0.26444312418669136,7800,3.892150277901364,1.8976270912904414,0,59.12408759124088,32.481751824817515,26.444312418669135,42.33576642335766,39.30190686428687,39.3,0.7355568758133086,false,0.736,3348559.08,78
COL,5435090132,2337755301,0,2620,COL,0,0,3097334831,0.5698773627991787,262000,5.418302948929108,3.4184670209466006,0,78.1021897810219,32.481751824817515,56.98773627991787,57.66423357664233,56.27515300076368,56.3,0.43012263720082133,false,0.43,6049263,236
CPV,0,0,37752,0,CPV,0,0,0,0,37752,4.576951468062644,0,4.576951468062644,16.78832116788321,64.96350364963503,0,51.09489051094891,30.65693430656934,30.6,1,false,1,0,0
CRI,118686218,15303387,0,0,CRI,0,0,103382831,0.871060117527715,0,0,0,0,16.78832116788321,32.481751824817515,100,12.773722627737227,44.87226277372263,44.9,0.12893988247228502,false,0.129,4073827.54,99
CUB,97389281,22009052,0,0,CUB,0,0,75380229,0.7740095031608253,0,0,0,0,16.78832116788321,32.481751824817515,92.88114037929903,12.773722627737227,42.736604887512335,42.7,0.22599049683917474,false,0.226,3807900.3,88
CUW,90953699,6100710,0,0,CUW,0,0,84852989,0.9329251029141762,0,0,0,0,16.78832116788321,32.481751824817515,100,12.773722627737227,44.87226277372263,44.9,0.06707489708582386,false,0.067,4030224.03,97
CZE,180966969,50113895,0,0,CZE,0,0,130853074,0.7230771158022766,0,0,0,0,16.78832116788321,32.481751824817515,86.76925389627318,12.773722627737227,40.90303894260458,40.8,0.2769228841977234,false,0.277,3749097.94,85
DEU,0,0,0,15,DEU,0,0,0,0,1500,3.1763806922432702,1.2041199826559248,0,48.175182481751825,32.481751824817515,0,35.76642335766424,27.317518248175183,27.3,1,false,1,0,0
DJI,290216163,136323546,193872,3,DJI,0,0,153892617,0.5302689395697097,194172,5.2881888405759625,0.6020599913279624,5.287517330649159,41.605839416058394,67.88321167883211,53.026893956970966,55.47445255474452,54.37522147176282,54.4,0.4697310604302904,false,0.47,5042174.84,177
DOM,150162533,33727808,924905,0,DOM,0,0,116434725,0.7753913221482486,924905,5.9660975967868985,0,5.9660975967868985,16.78832116788321,76.64233576642336,93.04695865778983,69.34306569343066,65.14036496959972,65.2,0.22460867785175148,true,0.225,5953781.36,255
DZA,0,0,0,332,DZA,0,0,0,0,33200,4.521151164666128,2.5224442335063197,0,70.8029197080292,32.481751824817515,0,49.63503649635037,35.74817518248175,35.9,1,false,1,0,0
ECU,1640330983,546637845,0,1182,ECU,0,0,1093693138,0.6667514967008338,118200,5.07262115076389,3.0729847446279304,0,75.18248175182481,32.481751824817515,66.67514967008337,53.284671532846716,57.57553760175493,57.5,0.33324850329916617,false,0.333,5883907.75,222
EGY,2021879799,757295785,0,4317,EGY,0,0,1264584014,0.6254496506792588,431700,5.6351830546650215,3.635282637998212,0,79.56204379562044,32.481751824817515,62.54496506792589,62.04379562043796,59.18319754957484,59.1,0.3745503493207412,false,0.375,6089819.92,247
ERI,0,0,0,4,ERI,0,0,0,0,400,2.603144372620182,0.6989700043360189,0,43.43065693430657,32.481751824817515,0,31.751824817518248,25.32846715328467,25.3,1,false,1,0,0
ETH,19931507035,8967236278,16756345,310123,Ethiopia,9.1,40.4,10964270757,0.5500974280442813,47768645,7.679142931401371,5.491535376892737,7.22417931948217,100,100,55.00974280442813,100,86.50292284132844,86.4,0.44990257195571864,true,0.45,9820401.25,649
FJI,38630049,21804002,0,0,FJI,0,0,16826047,0.43556887541095274,0,0,0,0,16.78832116788321,32.481751824817515,43.55688754109527,12.773722627737227,27.93932903605121,28.1,0.5644311245890472,false,0.564,2298718.84,37
FRA,0,0,0,273,FRA,0,0,0,0,27300,4.436178554972184,2.437750562820388,0,67.51824817518248,32.481751824817515,0,46.35036496350365,34.27007299270073,34.3,1,false,1,0,0
GEO,0,0,0,1,GEO,0,0,0,0,100,2.0043213737826426,0.3010299956639812,0,35.76642335766424,32.481751824817515,0,26.642335766423358,22.39051094890511,22.4,1,false,1,0,0
GHA,0,0,1561223,30,GHA,0,0,0,0,1564223,6.194298945014192,1.4913616938342726,6.193465218875834,52.55474452554745,81.75182481751825,0,75.18248175182481,48.613138686131386,48.7,1,false,1,0,0
GIN,0,0,1480656,54,GIN,0,0,0,0,1486056,6.172035467776312,1.7403626894942439,6.170454464152611,56.20437956204379,81.02189781021897,0,74.45255474452554,49.1970802919708,49.2,1,false,1,0,0
GMB,35142086,1510934,0,1,GMB,0,0,33631152,0.957004999646293,100,2.0043213737826426,0.3010299956639812,0,35.76642335766424,32.481751824817515,100,26.642335766423358,52.39051094890511,52.4,0.04299500035370695,false,0.043,4464994.84,119
GNB,0,0,121695,0,GNB,0,0,0,0,121695,5.085276303731488,0,5.085276303731488,16.78832116788321,65.69343065693431,0,54.01459854014598,31.423357664233578,31.5,1,false,1,0,0
GRC,466836326,400800266,0,0,GRC,0,0,66036060,0.14145441629578756,0,0,0,0,16.78832116788321,32.481751824817515,14.145441629578755,12.773722627737227,19.115895262596254,19.2,0.8585455837042124,false,0.859,0,0
GRD,7820962,2379039,0,0,GRD,0,0,5441923,0.695812484448844,0,0,0,0,16.78832116788321,32.481751824817515,69.58124844488441,12.773722627737227,35.74663730718795,35.9,0.304187515551156,false,0.304,2737557.39,51
GTM,642429886,244219773,3437133,56,GTM,0,0,398210113,0.6198499193108834,3442733,6.536903468596355,1.7558748556724915,6.5361964638585395,56.934306569343065,91.97080291970804,61.98499193108834,86.13138686131386,73.04805232385205,73.1,0.38015008068911665,true,0.38,7117117.49,363
GUY,104810478,14019018,0,0,GUY,0,0,90791460,0.8662441173104849,0,0,0,0,16.78832116788321,32.481751824817515,100,12.773722627737227,44.87226277372263,44.9,0.13375588268951508,false,0.134,4045157.1,98
HND,990886700,307399996,1784832,90,HND,0,0,683486704,0.6897728105544256,1793832,6.253782009190573,1.9590413923210936,6.251597587074869,60.58394160583942,86.13138686131386,68.97728105544256,78.1021897810219,72.99245438962546,73,0.31022718944557437,true,0.31,7301276.42,368
HTI,4644400103,1601851013,5697628,1787,Haiti,18.9,-72.2,3042549090,0.6551005560512968,5876328,6.769106102789535,3.2523675144598987,6.755694166823706,76.64233576642336,100,65.51005560512968,90.51094890510949,81.91579040416664,81.9,0.34489944394870325,true,0.345,8792718.86,529
IDN,50500000,30691990,0,372,IDN,0,0,19808010,0.3922378217821782,37200,4.570554614307831,2.571708831808688,0,71.53284671532847,32.481751824817515,39.22378217821782,50.36496350364964,47.84377698923177,47.8,0.6077621782178217,false,0.608,3948620.63,111
IND,0,0,0,5864,IND,0,0,0,0,586400,5.7681947022437665,3.768268016451548,0,84.67153284671532,32.481751824817515,0,65.69343065693431,42.42700729927007,42.4,1,false,1,0,0
IRN,1115338256,189664591,0,1139,Iran,32.4,53.7,925673665,0.8299488159939885,113900,5.05652753700777,3.0569048513364727,0,74.45255474452554,32.481751824817515,99.59385791927862,52.55474452554745,67.12268292322884,67.2,0.17005118400601155,true,0.17,6821388.95,292
IRQ,8340430330,6214023837,0,40439,IRQ,0,0,2126406493,0.25495165223686966,4043900,6.606800514950617,4.606811146918964,0,100,32.481751824817515,25.495165223686968,87.59124087591242,58.28723569849295,58.3,0.7450483477631303,false,0.745,6156349.45,269
ISR,0,0,0,47989,ISR,0,0,0,0,4798900,6.681141790649822,4.681150749932422,0,100,32.481751824817515,0,88.32116788321169,50.784671532846716,50.8,1,false,1,0,0
JOR,11862529507,5625933498,0,34,JOR,0,0,6236596009,0.5257391355966555,3400,3.531606631932722,1.5440680443502757,0,53.284671532846716,32.481751824817515,52.573913559665556,39.416058394160586,45.096991586147844,45.1,0.4742608644033445,false,0.474,5001051.08,142
KEN,1932700440,1473585756,1760950,1544,Kenya,0,37.9,459114684,0.2375508767411467,1915350,6.2822483727666505,3.1889284837608534,6.245747271512033,75.91240875912408,84.67153284671532,23.75508767411467,79.56204379562044,63.18492046281835,63.1,0.7624491232588533,false,0.762,6187656.87,272
KGZ,0,0,0,95,KGZ,0,0,0,0,9500,3.9777693180915743,1.9822712330395684,0,61.31386861313869,32.481751824817515,0,43.79562043795621,32.20802919708029,32.3,1,false,1,0,0
KWT,0,0,0,26,KWT,0,0,0,0,2600,3.4151403521958725,1.4313637641589874,0,49.63503649635037,32.481751824817515,0,37.22627737226277,27.974452554744527,28,1,false,1,0,0
LBN,30151996191,10855642122,1172387,4834,Lebanon,33.9,35.9,19296354069,0.6399693720696251,1655787,6.219004730803896,3.6843964784190204,6.069071364559596,81.02189781021897,78.83211678832117,63.996937206962514,77.37226277372264,74.63703736646832,74.7,0.3600306279303748,true,0.36,8698164.04,475
LBR,57000000,7507918,418213,1,LBR,0,0,49492082,0.8682821403508771,418313,5.621502399653549,0.3010299956639812,5.62139856703014,35.76642335766424,71.53284671532847,100,60.58394160583942,68.94160583941607,68.9,0.1317178596491228,true,0.132,6001838.4,257
LBY,1543668873,875976527,0,7285,LBY,0,0,667692346,0.4325359911561811,728500,5.862430152254511,3.862489166905897,0,86.13138686131386,32.481751824817515,43.25359911561811,66.42335766423358,55.914035939064995,55.9,0.567464008843819,false,0.567,5584551.92,217
LKA,149692653,129521724,0,0,LKA,0,0,20170929,0.13474895791979852,0,0,0,0,16.78832116788321,32.481751824817515,13.474895791979852,12.773722627737227,18.91473151131658,18.8,0.8652510420802015,false,0.865,0,0
LSO,33745000,13733857,258331,0,LSO,0,0,20011143,0.5930106089791081,258331,5.412178206260957,0,5.412178206260957,16.78832116788321,68.61313868613139,59.30106089791081,56.934306569343065,50.52754454674551,50.5,0.406989391020892,false,0.407,4174193.21,132
MAR,0,0,0,27,MAR,0,0,0,0,2700,3.431524584187451,1.4471580313422192,0,51.09489051094891,32.481751824817515,0,38.32116788321168,28.55839416058394,28.5,1,false,1,0,0
MDA,935525175,555621639,0,0,MDA,0,0,379903536,0.40608585012156406,0,0,0,0,16.78832116788321,32.481751824817515,40.608585012156404,12.773722627737227,27.054838277369548,27.1,0.5939141498784359,false,0.594,2632223.1,46
MDG,743190946,640636161,1573101,27,MDG,0,0,102554785,0.1379925112812125,1575801,6.197501647347988,1.4471580313422192,6.19675688320878,51.09489051094891,82.48175182481752,13.79925112812125,75.91240875912408,52.716417674202795,52.7,0.8620074887187875,false,0.862,4779446.56,174
MEX,133387238,65689202,0,0,MEX,0,0,67698036,0.5075300832003133,0,0,0,0,16.78832116788321,32.481751824817515,50.753008320031334,12.773722627737227,30.098165269732025,30,0.49246991679968666,false,0.492,2659485.42,47
MLI,5637357004,2277513429,855640,11045,Mali,17.6,-4,3359843575,0.5959962394817314,1960140,6.292287312845991,4.043205038887658,5.932291586613775,100,75.18248175182481,59.59962394817314,80.2919708029197,77.73390178299209,77.7,0.4040037605182686,true,0.404,8379705.78,463
MMR,5782469296,2708174716,0,0,Myanmar,21.9,95.9,3074294580,0.5316577438857533,0,0,0,0,16.78832116788321,32.481751824817515,53.16577438857533,12.773722627737227,30.821995090295225,30.8,0.46834225611424674,false,0.468,3308235.19,67
MNG,18812011,11033178,0,0,MNG,0,0,7778833,0.4135035323974667,0,0,0,0,16.78832116788321,32.481751824817515,41.35035323974667,12.773722627737227,27.277368745646626,27.2,0.5864964676025333,false,0.586,2121917.15,32
MOZ,3261097102,1547265073,2089610,5028,Mozambique,-18.7,35.5,1713832029,0.5255384845636528,2592410,6.413703855563541,3.7014816356209272,6.320065445786943,82.48175182481752,88.32116788321169,52.55384845636528,83.21167883211679,75.10922023034024,75.1,0.4744615154363472,true,0.474,7850746.44,419
MRT,374275509,172914581,394119,3,MRT,0,0,201360928,0.5380018813894659,394419,5.595958928757549,0.6020599913279624,5.59562847411769,41.605839416058394,70.8029197080292,53.800188138946595,59.854014598540154,56.21304914241391,56.2,0.461998118610534,false,0.462,5283296.83,197
MWI,281907000,134123503,2970149,0,MWI,0,0,147783497,0.5242278375492627,2970149,6.472778382828083,0,6.472778382828083,16.78832116788321,89.78102189781022,52.42278375492627,84.67153284671532,59.3034774622443,59.4,0.4757721624507373,false,0.476,5493780.13,227
MYS,0,0,0,1,MYS,0,0,0,0,100,2.0043213737826426,0.3010299956639812,0,35.76642335766424,32.481751824817515,0,26.642335766423358,22.39051094890511,22.4,1,false,1,0,0
Mexico,0,0,0,100031,Mexico,0,0,0,0,10003100,7.0001346538418385,5.000138952003074,0,100,32.481751824817515,0,92.7007299270073,51.660583941605836,51.6,1,false,1,0,0
Myanmar (Burma),0,0,0,11377,Myanmar (Burma),0,0,0,0,1137700,6.056028139816424,4.056065929431753,0,100,32.481751824817515,0,72.26277372262774,47.57299270072993,47.6,1,false,1,0,0
NAM,0,0,455668,0,NAM,0,0,0,0,455668,5.658649483735204,0,5.658649483735204,16.78832116788321,72.26277372262774,0,62.77372262773723,34.81751824817518,34.8,1,false,1,0,0
NER,5085855398,2810725121,1780316,4422,NER,0,0,2275130277,0.44734466455626903,2222516,6.346845091567091,3.6457169393696036,6.250497338878153,80.2919708029197,85.40145985401459,44.7344664556269,81.75182481751825,71.1940625644253,71.2,0.552655335443731,true,0.553,7542225.99,383
NGA,9897106311,5986834721,27212934,31195,Nigeria,9,8.6,3910271590,0.39509241056186123,30332434,7.481907275612856,4.494098911669254,7.434775384321624,100,100,39.50924105618612,99.27007299270073,81.70678691539598,81.7,0.6049075894381387,true,0.605,8872034.56,544
NPL,523013594,312610362,0,1,NPL,0,0,210403232,0.4022901783313877,100,2.0043213737826426,0.3010299956639812,0,35.76642335766424,32.481751824817515,40.22901783313877,26.642335766423358,34.45921629884674,34.4,0.5977098216686123,false,0.598,3241333.64,66
Netherlands,0,0,0,0,Netherlands,0,0,0,0,0,0,0,0,16.78832116788321,32.481751824817515,0,12.773722627737227,14.872262773722627,14.9,1,false,1,0,0
PAK,3465469704,1785852623,10989570,9743,Pakistan,30.4,69.3,1679617081,0.48467227373573946,11963870,7.077871721620213,3.9887372752888,7.0409807391960815,88.32116788321169,100,48.46722737357395,93.43065693430657,80.30659156973641,80.3,0.5153277262642605,true,0.515,8386378.94,498
